Nazwa zmiennej;Jednostka terytorialna;Sposób prezentacji;Rok;Miesiąc;Wartość;Flaga
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;1;102,4;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;2;103,1;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;3;103,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;4;103,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;5;103,0;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;6;103,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;7;103,5;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;8;103,3;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;9;103,6;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;10;103,7;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;11;103,8;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Rok poprzedni = 100;2020;12;103,9;
Wskaźnik cen towarów i usług konsumpcyjnych;Polska;Grudzień poprzedniego roku = 100;2019;1;99,8;
